TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΑΙΣΣΩ,ἀίσσω,Αισσω,ἀίσσω ––– ἤῑξα ἀίξασκον ––– ἠίχθην,dart,,,,,Verb,Locomotion,,,,,3,,,,,,,,,
ΑΙΣΧΙΣΤΟΣ,αἴσχιστος,αισχιστος,αἴσχιστος –η –ον,most shameful,1,,,,Adjective,,,,,,,,,,,33,,,,
ΑΙΣΧΙΩΝ,αἰσχíων,αισχιων,αἰσχíων –ῑον,more shameful,3,,,,Adjective,,,,,,,,,,,33,,,31,
ΑΙΣΧΥΛΟΣ/N,Αἱσχύλος/N,Αισχυλος/N,Αἱσχύλος –ου ὁ,Aeschylus,2,,,1,Noun,,,,,,,,,,,,,,,
ΑΙΣΧΥΝΗ,αἰσχύνη,αισχυνη,αἰσχύνη –ης ἡ,"shame, dishonor",1,,,,Noun,,,,,,,,,,,,,,29,
ΑΙΣΧΥΝΩ,αἰσχύνω,αΙσχυνω,αἰσχύνω αἰσχυνῶ ᾔσχυνα ––– ––– ᾐσχύνθην,"make ugly, disfigure",,,,,Verb,,,,,,,,1,1,1,44,19,7.a,,
ΑΙΤΙᾹ,αἰτίᾱ,αΙτιᾱ,αἰτίᾱ –ᾱς ἡ,"shame, guilt, cause",1,,,,Noun,,,,,,,,,,,19,,,,
ΑΙΤΙΑΟΜΑΙ,αἰτιάομαι,αΙτιαομαι,αἰτιάομαι αἰτιάσομαι ᾐτιασάμην ἠτίαμαι ––– ᾐτιάθην,"accuse, blame",,,,,Verb,Law,,,,,,,,,,,,,34,
,Αἰτναῖον ὅρος,Αιτναιον ορος,Αἰτναῖον-ὅρος,Mount Etna,,1,,,Idiom,,,,,,,,,,,,,,,
ΑΙΧΜΑΛΩΤΟΣ,αἴχμάλωτος,αιχμαλωτος,αἴχμάλωτος –ου ὁ,prisoner of war,2,,,,Noun,War and Peace,,,,,,,,,,,,,,
ΑΙΧΜΗ,αἰχμή,αΙχμη,αἱχμή –ῆς ἡ,"spear-point, spear",1,,,,Noun,War and Peace,,,,,,,,,,,,,,
ΑΙΨΑ,αἶψα,,αἶψα,"forthwith, at once, directly",,,,,Adverb,,,,,,3,,,,,,,,,
,Ἀκαρνανία,Ακαρναρνια,Ἀκαρναρνία,Acarnania,1,,,,Noun,,,,,,,,,,,,,,,
ΑΚΕΟΜΑΙ,ἀκέομαι,Ακεομαι,ἀκέομαι ἀκέσομαι ἠκεσάμην ––– ––– ἀκεσθῆναι ,"to heal, cure",,,,,Verb,,,372,,1,,,,,,,,,,
ΑΚΟΗ,ἀκοή,Ακοη,ἀκοή –ής ἡ,"a hearing, report, what is heard",1,,,,Noun,Communication,,,,,,,,,,,,,,
ΑΚΟΛΟΥΘΕΩ,ἀκολουθέω,Ακολουθεω,ἀκολουθέω ἀκολουθήσω ἠκολουθήσα ἠκολουθήκα ἠκολουθήμαι ἠκολουθήθην,"follow, go after, obey",,,,,Verb,Locomotion,,,,,,,,,,,,,,
ΑΚΡΙΤΟΣ,ἄκριτος,ακριτος,ἄκριτος –ον,"unjudged, without trial",1,,,,Adjective,,,,,,,,,,,,,,25,
ΑΚΡΟΝ ,ἄκρον ,ακρον ,ἄκρον τό,"the top of the mountain, hike",2,,,,Noun,,,,,,,,,,,,,,,
ΑΚΡΟΠΟΛΙΣ ,ἀκρόπολις ,Ακροπολις ,ἀκρόπολις ἡ,"citadel, acropolis",3,,,,Noun,,,373,,1,,,,,,,,,28,
ΑΚΡΟΠΟΛΙΣ/N,Ακρόπολις /N,Ακροπολις/N,Ακρόπολις –εως ἡ ,the Acropolis (the citadel of Athens),3,,,1,Noun,,,,,,,,,,,,,,,
ΑΚΡΟΣ,ἄκρος,ακρος,ἄκρος –α –ον,"at the furthest point, topmost",1,,,,Adjective,,,,,,,,,,,,,,28,
,ἄκων,ακων,ἄκων ἄκουσα ἄκον,unwilling(ly); involuntary(-ily),"1,2",,,,Adjective,,,,,,,,,,,,,,,
ΑΛΑΖΩΝ,ἀλαζών,Αλαζων,ἀλαζών –ονος ὁ ἡ,"impostor, charlatan, quack",3,,,,Noun,,,,,,,,,,,,,,,
