TITLE,accented lemma,SEARCH LEMMA,DISPLAY LEMMA,English Definition,Decl,Idiom,Reg Adject/Adv/Form,Proper,Part Of Speech,DCC SEMANTIC GROUP,DCC Core Frequency,Herodotus 1 frequency rank,DCC Greek Core,Herodotus Book 1 Core (412 words > 10 times),Homer Core (Frequency Categories 1-4),National Collegiate Greek Exam Core,Fundamental 400 (BiCo Elementary Core),Fine 555 (BiCo Third Semester Core),Splendid 655 (BiCo Fourth Semester Core),Alpha to Omega (Groton),Greek: an Intensive Course (Hansen-Quinn),Introduction to Ancient Greek (Luschnig),Introduction to Attic Greek (Mastronarde 2013),Learn to Read Greek (Keller-Russell)
ΕΠΙΣΤΑΜΑΙ,ἐπίσταμαι,Επισταμαι,ἐπίσταμαι ἐπιστήσομαι ––– ––– ––– ἠπιστήθην,"know how to, understand",,,,,Verb,Education,,319,,1,,,1,1,1,46,17,12.a,28,10
ΕΠΙΣΤΕΛΛΩ,ἐπιστέλλω,επιστελλω,ἐπιστέλλω ἐπιστελέω ἐπέστειλα ἐπέσταλκα ἐπέσταλμαι ἐπεστάλην,"send a message, order",,,,,Verb,,,,,,,,,,,,,,41,
ΕΠΙΣΤΟΛΗ,ἐπιστολή,Επιστολη,ἐπιστολή –ῆς ἡ,"message, order, letter",1,,,,Noun,Communication,,,,,,,,,,4,,9.a,41,
ΕΠΙΣΤΡΑΤΕΥΩ,ἐπιστρατεύω,Επιστρατευω,ἐπιστρατεύω ἐπιστρατεύσω ἐπιστράτευσα ἐπιστράτευκα ἐπιστράτευμαι ἐπιστρατεύθην,"+dat. or ἐπί +acc., march against, attack",,,,,Verb,,,,,,,,,,,,,,,
ΕΠΙΣΤΡΕΦΩ,ἐπιστρέφω,Επιστρεφω,ἐπιστρέφω ἐπεστράφην,turn around,,,,,Verb,,,,,,,,,,,,,,,
ΕΠΙΤΕΛΛΩ,ἐπιτέλλω,,ἐπιτέλλω,"enjoin, lay command or order upon, charge",,,,,Verb,,,,,,4,,,,,,,,,
ΕΠΙΤΗΔΕΙΟΣ,ἐπιτήδειος,Επιτηδειος,ἐπιτήδειος –α –ον,"suitable, useful",1,,,,Adjective,,,,,,,,,,,40,,,41,
ἘΠΙΤΗΔΕΎΩ,ἐπιτηδεύω,ἐπιτηδεύω,ἐπιτηδεύω,"to pursue or practice, invent",,,,,Verb,,,,,,,,,,,,,,,
ΕΠΙΤΙΘΕΜΑΙ,ἐπιτίθεμαι,Επιτιθεμαι,ἐπιτίθεμαι ἐπιθήσομαι ἐπεθέμην,"+dat., attack",,,,,Verb,,,,,,,,,,,,,,,
ΕΠΙΤΙΘΗΜΙ,ἐπιτίθημι,Επιτιθημι,ἐπιτίθημι ἐπιθήσω ἐπέθηκα ἐπιτέθηκα ––– ἐπετέθην,"lay/put upon, set up, apply oneself",,,,,Verb,,,,,,,,,,,,,,23,
ΕΠΙΤΡΕΠΩ,ἐπιτρέπω,Επιτρεπω,ἐπιτρέπω ἐπιτρέψω ἐπέτρεψα ἐπιτέτροφα ἐπιτέτραμμαι ἐπετράφθην (or ἐπετράπην),"turn to, transfer, leave to",,,,,Verb,Locomotion,,,,,,,,,,,,,5,
ΕΠΙΦΕΡΩ,ἐπιφέρω,Επιφερω,ἐπιφέρω ἐπιοίσω ἐπήνεγκα ἐπενήνοχα ἐπενήνεγμαι ἐπηνέχθην,"bring on, set on, influence",,,,,Verb,,,,,,,,,,,,,,,
ΕΠΙΧΕΙΡΕΩ,ἐπιχειρέω,Επιχειρεω,ἐπιχειρέω ἐπιχειρήσω ἐπιχείρησα ἐπιχείρηκα ἐπιχείρημαι ἐπιχειρήθην,"put one's hand to, endeavor",,,,,Verb,,,,,,,,,,,,,,39,16
ΕΠΟΡΚΙΑ,ἐπορκία,επορκια,ἐπορκία –ας ἡ,perjury,1,,,,Noun,,,,,,,,,,,,,,10,
ΕΠΤΑΚΙΣ,ἑπτάκις,επτακις,ἑπτάκις,seven times,,,,,Adverb,,,,,,,,,,,,,,25,
ΕΠΤΑΚΟΣΙΟΙ,ἑπτακόσιοι,επτακοσιοι,ἑπτακόσιοι –αι –α,seven hundred,,,,,Number,,,,,,,,,,,,,,42,
ΕΠΩ,ἕπω,Επω,ἕπω,"move about, be busy, follow",,,,,Verb,Locomotion,,,,,2,,,,1,,,,,
ΕΡΑΩ,ἐράω,Εραω,ἐράω,"love, be in love with",,,,,Verb,,,,,,,,,,,,,11.a,34,
ΕΡΓΝΥΜΙ,ἔργνυμι,εργνυμι,ἔργνυμι,to confine,,,,,Verb,,,,,,,,,,,,,,,
ΕΡΕΩ,ἐρέω,ερεω,––– ἐρέω εἶπον εἴρηκα εἴρημαι ἐρρήθην,will say,,,,,Verb,,,,,,,,,,,,,,19,
ΕΡΗΜΟΣ,ἑρῆμος,Ερημος,ἐρῆμος –η –ον,"lone, lonely, desert",1,,,,Adjective,,,,,,,,,,,,,,,
ΕΡΙΝΥΕΣ/N,Ἐρινύες /N,Ερινυες/N,Ἐρινύες –ῶν αἱ,the Furies,3,,,1,Noun,,,,,,,,,,,,,,,
ΕΡΙΣ,ἔρις,ερις,ἔρις –ιδος ἡ,"strife, quarrel",3,,,,Noun,,,,,,,,,,,,,,14,
ΕΡΜΗΝΕΥΣ,ἑρμηνεύς,Ερμηνευς,ἑρμηνεύς –έως ὁ,interpreter,3,,,,Noun,,,,,,,,,,,,12,,,
ΕΡΜΗΣ/Ν,Ἑρμῆς,Ερμης,Ἑρμῆς –οῦ ὁ,"Hermes, herm",1,,,,Noun,,,,,,,,,,,,,,38,
ΕΡΥΩ,ἐρύω,Ερυω,ἐρύω,"draw, drag off",,,,,Verb,,,,,,3,,,,,,,,,
ΕΡΩ,ἑρῶ,Ερω,ἑρῶ,"say, tell, speak",,,,,Verb,Communication,,198,,1,,,,1,1,,,,,
ΕΡΩΣ,ἔρως,ερως,ἔρως –ωτος ὁ,"love, desire",3,,,,Noun,The Senses and Feelings,,,,,,,,,,,11,,,5
ΕΣΒΑΛΛΩ,ἐσβάλλω,Εσβαλλω,ἐσβάλλω ἐσβαλῶ ἔσβαλον ἐσβέβληκα ἐσβέβλημαι ἐσβλήθην,throw on; put on board; invade,,,,,Verb,,,300,,1,,,,,,,,,,
ΕΣΘΗΣ,ἐσθής,Εσθης,ἐσθής –ῆτος ἡ,clothing,3,,,,Noun,"Family, Friendship, and the Home",,,,,,,,,,,,,,
ΕΣΘΙΩ,ἐσθίω,Εσθιω,ἐσθίω ἔδομαι ἔφαγον ἐδήδοκα ἐδέδησμαι –––,to eat,,,,,Verb,Life and Death,,,,,4,,,,,45,,,26,
ΕΣΘΛΟΣ,ἐσθλός,Εσθλος,ἑσθλός –ή –όν,good,1,,,,Adjective,Characteristics,,,,,3,,,,,,,2.a,,
ΕΣΠΕΡΑ,ἑσπέρα,Εσπερα,ἑσπέρα –ας ἡ,evening,1,,,,Noun,Natural World,,,,,,,,,,29,,,34,
ΕΣΣΟΟΜΑΙ,ἐσσόομαι,Εσσοομαι,ἐσσόομαι,"to be inferior, be defeated",,,,,Verb,,,349,,1,,,,,,,,,,
ΕΣΤΕ,ἔστε,εστε,ἔστε,"until, so long as",,,,,Conjunction,,,,,,,,,,,,,,41,
ἙΣΤΙΑ,ἑστία,ἑστια,ἑστία –ας ἡ,hearth,1,,,,Noun,"Family, Friendship, and the Home",,,,,,,,,,,,,,
ΕΣΧΑΤΟΣ,ἔσχατος,εσχατος,ἔσχατος –η –ον,"furthest, uttermost, last",1,,,,Adjective,,,,1,,,,,,1,,,,41,
,ἑταίρα,εταιρα,ἑταίρα –ας ἡ,"comrade (female), companion (female), courtesan",1,,,,Noun,,,,,,,,,,,41,,,,
ΕΤΑΙΡΟΣ,ἑταῖρος,Εταιρος,ἑταῖρος –ου ὁ,"comrade, companion",2,,,,Noun,"Family, Friendship, and the Home",,,,,2,,,,1,41,13,,5,1
ΕΤΗΣ,ἔτης,ετης,ἔτης –ου ὁ,"clansmen, cousin, neighbor",1,,,,Noun,"Family, Friendship, and the Home",,,,,,,,,,,,,,
ΕΤΟΙΜΟΣ,ἑτοῖμος,Ετοιμος,ἑτοῖμος –η –ον,"at hand, prepared",1,,,,Adjective,,,320,,1,,,,,,36,,,41,
ΕΥ-ΓΕ,εὖ-γε,ευ-γε,εὖ γε,well done! good!,,1,,,Idiom,,,,,,,,,,,,,,,
,εὖ-ἔχειν,ευ-εχειν,εὖ-ἔχειν,fare well,,1,,,Idiom,,,,,,,,,,,17,,,,
,εὖ-πάσχειν,ευ-πασχειν,εὖ-πάσχειν,"be treated well, fare well",,1,,,Idiom,,,,,,,,,,,40,,,,
ΕΥΒΟΙΑ/N,Εὔβοια /N,Ευβοια/N,Εὔβοια –ας ἡ,Euboea,1,,,1,Noun,,,,,,,,,,,,,,,
ΕΥΓΕΝΗΣ,εὐγενής,ευγενης,εὔγενής –ές,"well-born, generous",3,,,,Adjective,,,,,,,,1,1,1,,10,6.a,22,
ΕΥΔΑΙΜΟΝΙΑ ,εὐδαιμονία ,ευδαιμονια ,εὐδαιμονία –ας ἡ,happiness; prosperity; good luck,1,,,,Noun,,,,,,,,,,,,,,,
ΕΥΔΑΙΜΩΝ,εὐδαίμων,ευδαιμων,εὐδαίμων –ον,"happy, lucky, blessed",3,,,,Adjective,Characteristics,,,,,,,1,1,1,17,10,6.a,22,9
ΕΥΔΩ,εὕδω,,εὕδω," sleep, lie down to sleep",,,,,Verb,,,,,,4,,,,,,,,,
ΕΥΕΒΗΣ,εὐεβής,ευσεβης,εὐσεβής –ες,"pious, holy",3,,,,Adjective,,,,,,,,,,,,,,40,
ΕΥΕΓΥΕΤΕΩ,εὐεγυετέω,ευεργετεω,εὐεργετέω,"benefit, show kindness toward",,,,,Verb,,,,,,,,,,,,,,34,
ΕΥΕΛΠΙΣ,εὔελπις,ευελπις,εὔελπις εὔελπι,"hopeful, cheerful",3,,,,Adjective,,,,,,,,,,,,,,31,
ΕΥΚΛΕΗΣ,ἐυκλεής,Ευκλεης,ἐυκλεής –ές,"of good report, famous, glorious",3,,,,Adjective,,,,,,,,,,,,,6.a,,
ΕΥΛΑΜΒΕΟΜΑΙ,εὐλαβέομαι,ευλαβομαι,εὐλαβέομαι,"beware, take care",,,,,Verb,,,,,,,,,,,,,,38,
ΕΥΜΕΝΗΣ,εὐμενής,ευμενης,εὐμενής –ές,kindly,3,,,,Adjective,,,,,,,,,,,,,,,
ΕΥΝΗ,εὐνή,,εὐνή εὐνῆφι,"place to lie, bed, couch",1,,,,Noun,,,,,,4,,,,,,,,,
ΕΥΝΟΙΑ,εὔνοια,ευνοια,εὔνοια –ας ἡ,good-will,1,,,,Noun,,,,,,,,,,,,,,,
ΕΥΝΟΥΣ,εὔνους,ευνους,εὔωους –ουν,"well-disposed, friendly",2,,,,Adjective,,,,,,,,,,,,,,42,
ΕΥΡΙΔΙΗΣ/N,Ἐυριδίης/N,Ευριδιης/N,Ἐυριδίης –ου ὁ,Euripides,1,,,1,Noun,,,,,,,,1,1,1,,13,3.b,,
ΕΥΡΟΣ,εὖρος,ευρος,εὖρος –ους τό,"width, breadth",3,,,,Adjective,,,,,,,,,,,,,,40,
ΕΥΡΥΣ,εὐρύς,ευρυς,εὐρύς –εῖα –ύ,broad,3,,,,Adjective,Characteristics,,,,,3,,,,,,,6.a,40,
ΕΥΡΥΧΩΡΙΑ,εὐρυχωρία,ευρυχωρια,εὐρυχωρία –ας ἡ,broad waters,1,,,,Noun,,,,,,,,,,,,,,,
ΕΥΣΕΒΕΙΑ,εὐσέβεια,ευσεβεια,εὐσέβεια –ας ἡ,"piety, reverence towards gods/parents",1,,,,Noun,Religion,,,,,,,,,,,,,,
ΕΥΣΕΒΕΩ,εὐσεβέω,ευσεβεω,εὐσεβέω,live or act piously,,,,,Verb,,,,,,,,,,,,,,40,
ΕΥΤΥΧΕΩ,εὐτυχέω,ευτυχεω,εὐτυχέω,be prosperous,,,,,Verb,,,,,,,,,,,,,11.a,,
ΕΥΤΥΧΗΣ,εὐτυχής,ευτυχης,εὐτυχής –ές,"lucky, successful",3,,,,Adjective,,,,,,,,1,1,1,,11,6.a,22,
ΕΥΤΥΧΙΑ,εὐτυχία,ευτυχια,εὐτυχία –ας ἡ,"good luck, success",1,,,,Noun,,,,,,,,,,,,,,29,
ΕΥΦΗΜΕΩ,εὐφημέω,ευφημεω,εὐφημέω,keep holy silence,,,,,Verb,,,,,,,,,,,,,,,
ΕΥΦΗΜΙΑ ,εὑφημία ,ευφημια ,εὑφημία –ας ἡ,call for holy silence,1,,,,Noun,,,,,,,,,,,,,,,
ΕΥΧΗ,εὐχή,ευχη,εὐχή –ής ἡ,prayer,1,,,,Noun,Religion,,,,,,,,,,,,,17,
ΕΥΧΟΜΑΙ,εὔχομαι,ευχομαι,εὔχομαι εὔξομαι ηὐξάμην ηὖγμαι,"pray, boast",,,,,Verb,Religion,,,,,3,,,,,,,,17,
ΕΦΙΑΛΤΗΣ/N,Ἐφιάλτης /N,Εφιαλτης/N,Ἐφιάλτης –ου ὁ,Ephialtes,1,,,1,Noun,,,,,,,,,,,,,,,
ΕΦΙΗΜΙ,ἐφίημι,Εφιημι,ἐφίημι ἐφήσω ἐφῆκα ἐφεῖκα ἐφεῖμαι ἐφείθην,"throw; ἐπί +acc., throw at",,,,,Verb,,,,,,,,,,,,,,23,
ΕΦΙΣΤΗΜΙ,ἐφίστημι,Εφιστημι,ἐφίστημι ἐπστήσω ἐπέστησα (or ἐπέστην) ἐπέστηκα ἐπέσταμαι ἐπεστάθην,"set upon, stand over",,,,,Verb,,,244,1,1,,,,1,1,,,,23,
ΕΧΘΙΣΤΟΣ,ἔχθιστος,εχθιστος,ἔχθιστος –η –ον,most hostile,1,,,,Adjective,,,,,,,,,,,33,,,,
ἘΧΘΙΩΝ,ἐχθíων,ἐχθιων,ἐχθíων –ῑον,more hostile,3,,,,Adjective,,,,,,,,,,,33,,,31,
ΕΧΘΡΑ,ἔχθρα,εχθρα,ἔχθρα –ας ἡ,"hatred, enmity",1,,,,Noun,,,,,,,,,,,,,,30,
ΕΧΘΡΟΣ/1,ἐχθρός ,Εχθρος ,ἐχθρός –οῦ ὁ,enemy,2,,,,Noun,,,,,,,,,,,12,,,,
ΕΧΙΣ,ἔχις,εχις,ἔχις –εως ὁ,"adder, viper",3,,,,Noun,Natural World,,,,,,,,,,,,,,
ΕΩΘΑ,ἔωθα,εωθα,ἔωθα,be accustomed; pf. with pres. sense,,,,,Verb,,,350,,1,,,,,,,,,,
ΕΩΟΣ,ἕως,εως,ἕως or ἑῷος ἡ,"dawn, the East",3,,,,Noun,,,,,,,,,,,,,,42,
ΖΕΥΓΝΥΜΙ,ζεύγνυμι,ζευγνυμι,ζεύγνυμι ζεύξω ἔζευξα ἔζευγμαι ἐζεύχθην/ἐζύγην,yoke,,,,,Verb,,,,,,,,,,,,,,23,
ΖΕΥΣ ΔΙΟΣ/N,Ζεύς Διός/N,Ζευς Διος/N,Ζεύς ∆ιός ὁ,Zeus,3,,,1,Noun,Religion,,351,,1,,,1,1,1,,16,7.a,40,5
ΖΕΥΣ/N,Ζεύς /N,Ζευς/N,Ζεύς Διός ὁ,Zeus,3,,,1,Noun,,,,,,,,,,,,,,,
ΖΕΩ,ζέω,ζεω,ζέω,"boil, seethe",,,,,Verb,The Senses and Feelings,,,,,,,,,,,,,,
ΖΗΛΟΣ,ζῆλος,ζηλος,ζῆλος –ου ὁ,"emulation, jealousy",2,,,,Noun,,,,,,,,,,,,,,30,
ΖΗΛΟΩ,ζηλόω,ζηλοω,ζηλόω,"emulate, praise",,,,,Verb,,,,,,,,,,,,,,30,
ΖΗΜΙΑ,ζημία,ζημια,ζημία –ας ἡ,"loss, damage",1,,,,Noun,,,,,,,,,,,,,,,
ΖΩΓΡΑΦΟΣ,ζωγράφος,ζωγραφος,ζωγράφος –ου ὁ,painter,2,,,,Noun,,,,,,,,,,,,12,,,
ΖΩΗ ,ζωή ,ζωη ,ζωή –ῆς ἡ ,life,1,,,,Noun,,,,,,,,,,,,,,,
ΖΩΟΣ,ζωός,,ζωός ζώς,"alive, living",3,,,,Adjective,,,,,,4,,,,,,,,,
ῌ,ᾕ,ῃ,ᾕ,"which way, whither, why (interrog. part.)",,,,,Particle,,,,,,,,,,,,,,31,2
Η-Η,ἢ-ἤ,η-η,ἢ…ἤ,either…or,,1,,,Idiom,,,,,,,,,,,16,,1.a,,
ΗΓΕΜΟΝΙΑ,ἡγεμονία,ηγεμονια,ἡγεμονία –ας ἡ,"a leading the way, going first",1,,,,Noun,Government and Society,,,,,,,,,,,,,,
ΗΔΕ,ἠδέ,,ἠδέ,and,,,,,Conjunction,,,,,,1,,,,1,,,,,
ΗΔΙΣΤΟΣ,ἥδιστος,ηδιστος,ἥδιστος –η –ον,sweetest,1,,,,Adjective,,,,,,,,,,,33,,,,
ΗΔΙΩΝ,ἡδíων,ηδιων,ἡδíων –ῑον,sweeter,3,,,,Adjective,,,,,,,,,,,33,,,31,
ΗΔΟΜΑΙ,ἥδομαι,ηδομαι,ἥδομαι ἡσθήσομαι ––– ––– ––– ἥσθην,rejoice,,,,,Verb,The Senses and Feelings,,,,,,,,,,,,,28,
ΗΘΟΣ,ἦθος,ηθος,ἦθος –ους τό,"haunts, pl. manners; character",3,,,,Noun,,,,,,,,,,,,,,,
ΗΚΙΣΤΟΣ,ἥκιστος,ηκιστος,ἥκιστος –η –ον,least,1,,,,Adjective,,,,,,,,,,,33,,10,31,11
ΗΛΙΚΙΑ,ἡλικία,ηλικια,ἡλικία –ας ἡ,"time of life, age; generation",1,,,,Noun,Life and Death,,,,,,,,,,27,,,,
ΗΜΑΙ,ἦμαι,ημαι,ἧμαι (or κάθημαι) ––– ––– ––– ––– –––,sit,,,,,Verb,,,,,,3,,,,,,,,,
ΗΜΕΙΣ,ἡμεῖς,ημεις,ἡμεῖς,we,6,,,,Pronoun,,,,,,2,,1,1,1,14,15,9.a,21,
ΗΜΕΝ,ἠμέν,,ἠμέν,"both.. (and), as well.. (as)",,,,,Conjunction,,,,,,4,,,,,,,,,
ΗΜΕΡΟΣ,ἥμερος,ημερος,ἥμερος –ον,"tame, reclaimed, cultivated",2,,,,Adjective,,,,,,,,,,,,,,,
ΗΜΙ,ἠμί,ημι,ἠμί,I say,,,,,Verb,Communication,,,,,4,,,,,47,,,,
ΗΜΙΟΝΟΣ,ἠμίονος,ημιονος,ἠμίονος –ου ὁ,mule,2,,,,Noun,,,,,,,,,,,,,,,
ΗΜΙΣΥΣ,ἥμισυς,ημισυς,ἥμισυς ἡμίσεια ἣμισυ,half,3,,,,Adjective,,,,,,,,,,,,,6.a,22,
ΗΜΩΝ-ΑΥΤΩΝ,ἡμῶν-αὐτῶν,ημων-αυτων,ἡμῶν αὐτῶν –ῶν,ourselves,6,,,,Pronoun,,,,,,,,,,,19,15,,,
ΗΝ,ἤν,ην,ἤν,"see there, behold",,,,,Interjection,The Senses and Feelings,,,,,,,,,,37,,,35,
ΗΝΙΚΑ,ἡνίκα,ηνικα,ἡνίκα,at the time when,,,,,Adverb,,,,,,,,,,,,,,,
ΗΠΕΙΡΟΣ,ἤπειρος,ηπειρος,ἤπειρος –ου ἡ,the land (not the sea),2,,,,Noun,Natural World,,279,,1,,,,,,,,,,
ῌΠΕΡ,ᾖπερ,ῃπερ,ᾖπερ,where,,,,,Adverb,,,,,,,,,,,,,,,
ΗΡΩΣ,ἥρως,ηρως,ἥρως ἥρωος ὁ,"hero, warrior",3,,,,Noun,War and Peace,,,,,3,,,,,,,,42,
ΗΣΣΑΟΜΑΙ,ἡσσάομαι,ησσαομαι,ἡσσάομαι ἡσσηθήσομαι ἡσσήσα ––– ἥσσημαι ἠσσήθην,"be less than another, inferior to",,,,,Verb,,,,,,,,,,,,,,32,
ΗΣΥΧΑΖΩ,ἡσυχάζω,ησυχαζω,ἡσυχάζω ἡσυχάσω ἡσύχασα ,"keep quiet, rest",,,,,Verb,,,,,,,,,,,,,,,
ΗΣΥΧΙΑ,ἡσυχία,ησυχια,ἡσυχία –ας ἡ,quiet,1,,,,Noun,,,,,,,,,,,4,,3.b,24,
ΗΣΥΧΟΣ,ἥσυχος,ησυχος,ἥσυχος –ον,"quiet, calm",2,,,,Adjective,,,,,,,,,,,,,,24,
ΗΤΟΙ,ἤτοι,ητοι,ἤτοι,"now, surely, truly",,,,,Particle,,,,,,,,,,,,,,,
ΗΤΟΡ,ἦτορ,,ἦτορ -ορος τό,Heart,3,,,,Noun,,,,,,4,,,,,,,,,
ΗΤΤΑ ,ἦττα ,ηττα ,ἦττα (ἦσσα) –ης ἡ,defeat,1,,,,Noun,,,,,,,,,,,,,,,
ΗΩΣ,ἠώς,ηως,ἠώς ἠοῦς ἡ,"dawn, morning-red",3,,,,Noun,Natural World,,,,,3,,,,,,,,42,
ΘΑΛΑΜΟΣ,θάλαμος,,"θάλαμος or θάλᾶμος, -ου ὁ", the rear portion of the house,2,,,,Noun,,,,,,4,,,,,,,,,
ΘΑΝΑΤΟΩ,θανατόω,θανατοω,θανατόω,put to death,,,,,Verb,Life and Death,,,,,,,,,,,,,,
ΘΑΠΤΩ,θάπτω,θαπτω,θάπτω θάψω ἔθαψα ––– τέθαμμαι ἐτάφην,bury,,,,,Verb,Life and Death,,,,,,,1,1,1,,4,9.b,,
ΘΑΡΡΕΩ,θαρρέω,θαρρεω,θαρρέω,be confident,,,,,Verb,,,,,,,,,,,,,,,
ΘΑΡΣΕΩ,θαρσέω,θαρσεω,θαρσέω θαρσήσω ἐθάρσησα ἐθάρσηκα ἐθάρσημαι ἐθαρήθην,be of good courage,,,,,Verb,War and Peace,,,,,,,,,,,,,,
ΘΑΣΣΩΝ,θάσσων,θασσων,θάσσων –ον,swifter,3,,,,Adjective,,,,,,,,,,,41,,10,31,
ΘΑΥΜΑ,θαῦμα,θαυμα,θαῦμα –ατος τό,wonder,3,,,,Noun,The Senses and Feelings,,,,,,,,,,,,5.a,35,
ΘΑΥΜΑΣΙΟΣ,θαυμάσιος,θαυμασιος,θαυμάσιος –α –ον,"wonderful, marvelous, admirable","1,2",,,,Adjective,,,,,,,,,,,,,,41,
ΘΑΥΜΑΣΤΟΣ,θαυμαστός,θαυμαστος,θαυμαστός –ή –όν,"wondrous, admirable",1,,,,Adjective,Characteristics,,,,,,,,,,,,,41,
ΘΕΑ/1,θεά,θεα/1,θεά –ᾶς ἡ,goddess,1,,,,Noun,Religion,,,,,3,1,1,1,1,4,,3.b,4,
ΘΕΑ/2,θέα,θεα/2,θέα θεᾶς ἡ,"view, what is seen, display",1,,,,Noun,The Senses and Feelings,,,,,,,,,,,,,,
ΘΕΑΟΜΑΙ,θεάομαι,θεαομαι,θεάομαι θεάσομαι ἐθεσάμην ––– τεθέαμαι ἐθεσαμήθην,"to look on, behold, view",,,,,Verb,The Senses and Feelings,,263,,1,,,,1,1,,,,,
ΘΕΑΤΡΟΝ,θέατρον,θεατρον,θέατρον –ου τό,theater,2,,,,Noun,,,,,,,,1,1,1,,16,10,,
ΘΕΜΙΣΤΟΚΛΗΣ/N,Θεμιστοκλῆς /N,Θεμιστοκλης/N,Θεμιστοκλῆς –ους ὁ,Themistocles,3,,,1,Noun,,,,,,,,,,,,,,,
ΘΕΟΠΡΟΠΟΣ ,θεοπρόπος ,θεοπροπος ,θεοπρόπος ὁ,messenger to an oracle,2,,,,Noun,,,385,,1,,,,,,,,,,
ΘΕΡΑΠΑΙΝΑ,θεράπαινα,θεραπαινα,θεράπαινα –ης ἡ,maid,1,,,,Noun,,,,,,,,,,,5,,,,
ΘΕΡΑΠΕΥΩ,θεραπεύω,θεραπευω,θεραπεύω θεραπεύσω ἐθεράπευσα τεθεράπευκα τεθεράπευμαι ἐθεραπεύθην,"be attendant, to serve",,,,,Verb,Government and Society,,,,,,,,,,,,5.a,,
ΘΕΡΑΠΩΝ,θεράπων,θεραπων,θεράπων –ονος ὁ,"attendant, servant",3,,,,Noun,,,,,,4,,,,,,,5.a,,
ΘΕΡΜΟΠΥΛΑΙ/N,Θερμοπύλαι /N,Θερμοπυλαι/N,Θερμοπύλαι –ῶν,Thermopylae,1,,,1,Noun,,,,,,,,,,,,,,,
ΘΕΡΟΣ,θέρος,θερος,θέρος –ους τό,"summer, summer harvest",3,,,,Noun,,,,,,,,,,,,,,39,
ΘΕΩ,θέω,θεω,θέω θεύσομαι ––– ––– ––– –––,to run,,,,,Verb,Locomotion,,,,,4,,,,,,,11.a,,
ΘΕΩΡΕΩ,θεωρέω,θεωρεω,θεωρέω θεωρήσω ἐθεωρήσα ἐθεωρήκα ἐθεωρήμαι ἐθεωρήθην,"look at, view, behold",,,,,Verb,The Senses and Feelings,,,,,,,,,,,,,,
ΘΕΩΡΙΑ ,θεωρία ,θεωρια ,θεωρία –ας ἡ,viewing; sight-seeing,1,,,,Noun,,,,,,,,,,,,,,,
ΘΗΛΥΣ,θῆλυς,θηλυς,θῆλυς θήλεια θῆλυ,"female, feminine, soft",3,,,,Adjective,Humanity and Being,,,,,,,,,,,,6.a,32,
ΘΗΡ,θήρ,θηρ,θήρ θηρός ὁ,wild animal,3,,,,Noun,,,,,,,,,,,,,,16,
ΘΗΡΑ,θήρα,θηρα,θήρα –ας ἡ,hunting,1,,,,Noun,,,,,,,,,,,,,,41,
ΘΗΡΙΟΝ ,θηρίον ,θηριον ,θηρίον –ου τό,beast; wild beast,2,,,,Noun,,,,,,,,,,,,,,16,
ΘΗΣΑΥΡΟΣ,θησαυρός,θησαυρος,θησαυρός –οῦ ὁ,treasure,2,,,,Noun,,,,,,,,,,,8,,,,
ΘΗΣΕΥΣ/N,Θησεύς/N,Θησευς/N,Θησεύς ὁ ,Theseus,3,,,1,Noun,,,,,,,,,,,,,,,
ΘΝΗΤΟΣ,θνητός,θνητος,θνητός –ή –όν,mortal,1,,,,Adjective,Life and Death,,,,,,,,,,,,,,5
ΘΟΟΣ,θοός,θοος,θοός –ή –όν,swift,1,,,,Adjective,Characteristics,,,,,3,,,,,,,,,
ΘΟΡΥΒΟΣ,θόρυβος,θορυβος,θόρυβος –ου ὁ,"uproar, confusion",2,,,,Noun,,,,,,,,,,,29,,,,
ΘΡΑΣΥΣ,θρασύς,θρασυς,θρασύς –εῖα –ύ,"bold, rash",3,,,,Adjective,,,,,,,,,,,,,,40,
ΘΡΟΝΟΣ,θρόνος,,"θρόνος θρόνοΥ, ὁ",arm-chair,2,,,,Noun,,,,,,4,,,,,,,,,
ΘΥΡΑ,θύρα,θυρα,θύρα –ας ἡ,door,1,,,,Noun,"Family, Friendship, and the Home",,,,,4,,,,,24,,,4,
ΘΥΣΙΑ,θυσία,θυσια,θυσία –ας ἡ,"offering, sacrifice",1,,,,Noun,Religion,,,,,,,,,,,3,,,
ΘΩΡΑΞ,θώραξ,θωραξ,θώραξ –ακος ὁ,breastplate; trunk,3,,,,Adjective,,,,,,,,,,,,,,14,
ΙΑΤΡΟΣ,ἰατρός,Ιατρος,ἰατρός –οῦ ὁ,"physician, healer",2,,,,Noun,Life and Death,,,,,,1,1,1,1,,20,2.a,,
ΙΔΙᾼ,ἱδίᾳ,ιδιᾳ,ἱδίᾳ,privately,,,,,Adverb,,,,,,,,,,,,,,,
ΙΔΙΩΤΗΣ,ἰδιώτης,Ιδιωτης,ἰδιώτης –ου ὁ,"a private person, individual",1,,,,Noun,Government and Society,,,,,,,,,,,,,38,
ΙΔΟΥ,ἰδοῦ,Ιδου,ἰδοῦ,Lo! Behold!,,,,,Adverb,,,,,,,,,,,,,,,
ΙΔΡΥΩ,ἱδρύω,ιδρυω,ἱδρύω ἱδρύσω ἵδυρσα ἵδρυκα ἵδρυμαι ἱδρύθην,"make sit down, seat",,,,,Verb,,,386,,1,,,,,,,,,,
