TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΕΞΥΔΑΤΩΤΙΚΟΣ,ἐξυδατωτικός,,ἐξυδατωτικός,tending to make watery,tending to make watery,tending to make watery,,,,,,http://logeion.uchicago.edu/index.html#ἐξυδατωτικός
ΕΞΥΔΡΑΡΓΥΡΟΩ,ἐξυδραργυρόω,,ἐξυδραργυρόω,cleanse of mercury,cleanse of mercury,cleanse of mercury,,,,,,http://logeion.uchicago.edu/index.html#ἐξυδραργυρόω
ΕΞΥΔΡΑΡΓΥΡΩΣΙΣ,ἐξυδραργύρωσις,,ἐξυδραργύρωσις,expulsion of mercury,expulsion of mercury,expulsion of mercury,,,,,,http://logeion.uchicago.edu/index.html#ἐξυδραργύρωσις
ΕΞΥΔΡΙΑΣ,ἐξυδρίας,,ἐξυδρίας,rainy,rainy,rainy,,,,,,http://logeion.uchicago.edu/index.html#ἐξυδρίας
ΕΞΥΔΡΩΠΙΑΩ,ἐξυδρωπιάω,,ἐξυδρωπιάω,become dropsical,become dropsical,become dropsical,,,,,,http://logeion.uchicago.edu/index.html#ἐξυδρωπιάω
ΕΞΥΘΛΕΩ,ἐξυθλέω,,ἐξυθλέω,to be foolishly spoken,to be foolishly spoken,to be foolishly spoken,,,,,,http://logeion.uchicago.edu/index.html#ἐξυθλέω
ΕΞΥΛΑΚΤΕΩ,ἐξυλακτέω,,ἐξυλακτέω,bark out: burst out in rage,bark out: burst out in rage,bark out: burst out in rage,,,,,,http://logeion.uchicago.edu/index.html#ἐξυλακτέω
ΕΞΥΛΙΖΩ,ἐξυλίζω,,ἐξυλίζω,filter out,filter out,filter out,,,,,,http://logeion.uchicago.edu/index.html#ἐξυλίζω
ΕΞΥΜΕΝΙΖΩ,ἐξυμενίζω,,ἐξυμενίζω,strip off the skin,strip off the skin,strip off the skin,,,,,,http://logeion.uchicago.edu/index.html#ἐξυμενίζω
ΕΞΥΜΕΝΙΣΤΕΟΝ,ἐξυμενιστέον,,ἐξυμενιστέον,one must strip off the coat,one must strip off the coat,one must strip off the coat,,,,,,http://logeion.uchicago.edu/index.html#ἐξυμενιστέον
ΕΞΥΜΕΝΙΣΤΗΡ,ἐξυμενιστήρ,,ἐξυμενιστήρ,flaying,flaying,flaying,,,,,,http://logeion.uchicago.edu/index.html#ἐξυμενιστήρ
ΕΞΥΠΑΓΩ,ἐξυπάγω,,ἐξυπάγω,"go over thoroughly, coat","go over thoroughly, coat","go over thoroughly, coat",,,,,,http://logeion.uchicago.edu/index.html#ἐξυπάγω
ΕΞΥΠΑΚΟΥΣΤΕΟΝ,ἐξυπακουστέον,,ἐξυπακουστέον,"one must supply, understand","one must supply, understand","one must supply, understand",,,,,,http://logeion.uchicago.edu/index.html#ἐξυπακουστέον
ΕΞΥΠΑΛΥΞΙΣ,ἐξυπάλυξις,,ἐξυπάλυξις,escape,escape,escape,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπάλυξις
ΕΞΥΠΑΝΙΣΤΗΜΙ,ἐξυπανίστημι,,ἐξυπανίστημι,started up from under,started up from under,started up from under,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπανίστημι
ΕΞΥΠΕΙΠΕΙΝ,ἐξυπειπεῖν,,ἐξυπειπεῖν,to advise,to advise,to advise,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπειπεῖν
ΕΞΥΠΕΡΖΕΩ,ἐξυπερζέω,,ἐξυπερζέω,boil over,boil over,boil over,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπερζέω
ΕΞΥΠΕΡΘΕ,ἐξύπερθε,,ἐξύπερθε,from above,from above,from above,,,,,,http://logeion.uchicago.edu/index.html#ἐξύπερθε
ΕΞΥΠΕΡΟΠΤΑΩ,ἐξυπεροπτάω,,ἐξυπεροπτάω,bake,bake,bake,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπεροπτάω
ΕΞΥΠΕΡΟΠΤΗΣΙΣ,ἐξυπερόπτησις,,ἐξυπερόπτησις,over-heating,over-heating,over-heating,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπερόπτησις
ΕΞΥΠΕΡΧΟΜΑΙ,ἐξυπέρχομαι,,ἐξυπέρχομαι,withdraw,withdraw,withdraw,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπέρχομαι
ΕΞΥΠΗΡΕΤΕΩ,ἐξυπηρετέω,,ἐξυπηρετέω,to assist to the utmost,to assist to the utmost,to assist to the utmost,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπηρετέω
ΕΞΥΠΗΡΕΤΗΣΙΣ,ἐξυπηρέτησις,,ἐξυπηρέτησις,"service, provision","service, provision","service, provision",,,,,,http://logeion.uchicago.edu/index.html#ἐξυπηρέτησις
ΕΞΥΠΗΡΕΤΗΤΕΟΝ,ἐξυπηρετητέον,,ἐξυπηρετητέον,one must supply,one must supply,one must supply,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπηρετητέον
ΕΞΥΠΝΙΖΩ,ἐξυπνίζω,,ἐξυπνίζω,to awaken from sleep,to awaken from sleep,to awaken from sleep,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπνίζω
ΕΞΥΠΝΟΣ,ἔξυπνος,,ἔξυπνος,awakened out of sleep,awakened out of sleep,awakened out of sleep,,,,,,http://logeion.uchicago.edu/index.html#ἔξυπνος
ΕΞΥΠΝΟΩ,ἐξυπνόω,,ἐξυπνόω,wake out of sleep,wake out of sleep,wake out of sleep,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπνόω
ΕΞΥΠΟΝΟΕΩ,ἐξυπονοέω,,ἐξυπονοέω,suspect,suspect,suspect,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπονοέω
ΕΞΥΠΤΙΑΖΩ,ἐξυπτιάζω,,ἐξυπτιάζω,to turn upside down,to turn upside down,to turn upside down,,,,,,http://logeion.uchicago.edu/index.html#ἐξυπτιάζω
ΕΞΥΦΑΙΝΩ,ἐξυφαίνω,,ἐξυφαίνω,to finish weaving,to finish weaving,to finish weaving,,,,,,http://logeion.uchicago.edu/index.html#ἐξυφαίνω
ΕΞΥΦΑΣΜΑ,ἐξύφασμα,,ἐξύφασμα,a finished web,a finished web,a finished web,,,,,,http://logeion.uchicago.edu/index.html#ἐξύφασμα
ΕΞΥΦΗΓΕΟΜΑΙ,ἐξυφηγέομαι,,ἐξυφηγέομαι,to lead the way,to lead the way,to lead the way,,,,,,http://logeion.uchicago.edu/index.html#ἐξυφηγέομαι
ΕΞΥΨΟΩ,ἐξυψόω,,ἐξυψόω,exalt,exalt,exalt,,,,,,http://logeion.uchicago.edu/index.html#ἐξυψόω
ΕΞΩΒΛΗΤΟΣ,ἐξώβλητος,,ἐξώβλητος,outcast,outcast,outcast,,,,,,http://logeion.uchicago.edu/index.html#ἐξώβλητος
ΕΞΩΔΩΝ,ἐξώδων,,ἐξώδων,with prominent teeth,with prominent teeth,with prominent teeth,,,,,,http://logeion.uchicago.edu/index.html#ἐξώδων
ΕΞΩΘΕΝ,ἔξωθεν,εξωθεν,ἔξωθεν,from without,from without,from without,,,,,Adverb,http://logeion.uchicago.edu/index.html#ἔξωθεν
ΕΞΩΘΕΩ,ἐξωθέω,,ἐξωθέω ἐξώσω ἐξέωσα ἐξέωκα ἐξέωσμαι ἐξεώσθην,"to thrust out, force out, wrench out","to thrust out, force out, wrench out","to thrust out, force out, wrench out",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἐξωθέω
ΕΞΩΘΗΣΙΣ,ἐξώθησις,,ἐξώθησις,expulsion,expulsion,expulsion,,,,,,http://logeion.uchicago.edu/index.html#ἐξώθησις
ΕΞΩΚΕΑΝΙΖΩ,ἐξωκεανίζω,,ἐξωκεανίζω,represent as placed out in the ocean,represent as placed out in the ocean,represent as placed out in the ocean,,,,,,http://logeion.uchicago.edu/index.html#ἐξωκεανίζω
ΕΞΩΚΕΑΝΙΣΜΟΣ,ἐξωκεανισμός,,ἐξωκεανισμός,a placing out in the ocean,a placing out in the ocean,a placing out in the ocean,,,,,,http://logeion.uchicago.edu/index.html#ἐξωκεανισμός
ΕΞΩΚΕΛΗΣ,ἐξωκέλης,,ἐξωκέλης,barebacked horse,barebacked horse,barebacked horse,,,,,,http://logeion.uchicago.edu/index.html#ἐξωκέλης
ΕΞΩΚΟΙΤΟΣ,ἐξώκοιτος,,ἐξώκοιτος,sleeping out,sleeping out,sleeping out,,,,,,http://logeion.uchicago.edu/index.html#ἐξώκοιτος
ΕΞΩΛΕΙΑ,ἐξώλεια,,ἐξώλεια,utter destruction,utter destruction,utter destruction,,,,,,http://logeion.uchicago.edu/index.html#ἐξώλεια
ΕΞΩΛΗΣ,ἐξώλης,,ἐξώλης,utterly destroyed,utterly destroyed,utterly destroyed,,,,,,http://logeion.uchicago.edu/index.html#ἐξώλης
ΕΞΩΜΑΛΛΟΣ,ἐξώμαλλος,,ἐξώμαλλος,with the nap outside,with the nap outside,with the nap outside,,,,,,http://logeion.uchicago.edu/index.html#ἐξώμαλλος
ΕΞΩΜΕΥΣ,ἐξωμεύς,,ἐξωμεύς,one who wears an,one who wears an,one who wears an,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμεύς
ΕΞΩΜΙΑΣ,ἐξωμίας,,ἐξωμίας,one with arms bare to the shoulder,one with arms bare to the shoulder,one with arms bare to the shoulder,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμίας
ΕΞΩΜΙΔΟΠΟΙΙΑ,ἐξωμιδοποιΐα,,ἐξωμιδοποιΐα,manufacture of ἐξωμίδες,manufacture of ἐξωμίδες,manufacture of ἐξωμίδες,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμιδοποιΐα
ΕΞΩΜΙΔΟΠΟΙΙΑ/2,ἐξωμιδοποιία,,ἐξωμιδοποιία,the making of an,the making of an,the making of an,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμιδοποιία
ΕΞΩΜΙΔΟΠΟΙΟΣ,ἐξωμιδοποιός,,ἐξωμιδοποιός,maker of ἐξωμίδες,maker of ἐξωμίδες,maker of ἐξωμίδες,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμιδοποιός
ΕΞΩΜΙΖΩ,ἐξωμίζω,,ἐξωμίζω,bare,bare,bare,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμίζω
ΕΞΩΜΙΣ,ἐξωμίς,,ἐξωμίς,a man's vest without sleeves,a man's vest without sleeves,a man's vest without sleeves,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμίς
ΕΞΩΜΟΣΙΑ,ἐξωμοσία,,ἐξωμοσία,denial on oath that one knows anything,denial on oath that one knows anything,denial on oath that one knows anything,,,,,,http://logeion.uchicago.edu/index.html#ἐξωμοσία
ΕΞΩΝΕΟΜΑΙ,ἐξωνέομαι,,ἐξωνέομαι,"to buy off, redeem","to buy off, redeem","to buy off, redeem",,,,,,http://logeion.uchicago.edu/index.html#ἐξωνέομαι
ΕΞΩΠΙΟΣ,ἐξώπιος,,ἐξώπιος,out of sight of,out of sight of,out of sight of,,,,,,http://logeion.uchicago.edu/index.html#ἐξώπιος
ΕΞΩΠΥΛΙΤΑΙ,ἐξωπυλῖται,,ἐξωπυλῖται,dwellers outside the gates,dwellers outside the gates,dwellers outside the gates,,,,,,http://logeion.uchicago.edu/index.html#ἐξωπυλῖται
ΕΞΩΠΥΛΟΣ,ἐξώπυλος,,ἐξώπυλος,out of doors,out of doors,out of doors,,,,,,http://logeion.uchicago.edu/index.html#ἐξώπυλος
ΕΞΩΡΟΣ,ἔξωρος,,ἔξωρος,"untimely, out of season, unfitting","untimely, out of season, unfitting","untimely, out of season, unfitting",,,,,,http://logeion.uchicago.edu/index.html#ἔξωρος
ΕΞΩΡΟΦΟΣ,ἑξώροφος,,ἑξώροφος,with,with,with,,,,,,http://logeion.uchicago.edu/index.html#ἑξώροφος
ΕΞΩΣΙΣ,ἔξωσις,,ἔξωσις,"putting out, displacement","putting out, displacement","putting out, displacement",,,,,,http://logeion.uchicago.edu/index.html#ἔξωσις
ΕΞΩΣΜΑ,ἔξωσμα,,ἔξωσμα,banishment,banishment,banishment,,,,,,http://logeion.uchicago.edu/index.html#ἔξωσμα
ΕΞΩΣΤΗΣ,ἐξώστης,,ἐξώστης,one who drives out,one who drives out,one who drives out,,,,,,http://logeion.uchicago.edu/index.html#ἐξώστης
ΕΞΩΣΤΙΚΟΣ,ἐξωστικός,,ἐξωστικός,expulsive,expulsive,expulsive,,,,,,http://logeion.uchicago.edu/index.html#ἐξωστικός
ΕΞΩΣΤΡΑ,ἐξώστρα,,ἐξώστρα,stage-machine,stage-machine,stage-machine,,,,,,http://logeion.uchicago.edu/index.html#ἐξώστρα
ΕΞΩΣΤΩΙΟΝ,ἐξωστῷον,,ἐξωστῷον,outer porch,outer porch,outer porch,,,,,,http://logeion.uchicago.edu/index.html#ἐξωστῷον
ΕΞΩΤΑΤΩ,ἐξωτάτω,,ἐξωτάτω,outermost,outermost,outermost,,,,,,http://logeion.uchicago.edu/index.html#ἐξωτάτω
ΕΞΩΤΕΡΙΑΙΟΣ,ἐξωτεριαῖος,,ἐξωτεριαῖος,"external, superficial","external, superficial","external, superficial",,,,,,http://logeion.uchicago.edu/index.html#ἐξωτεριαῖος
ΕΞΩΤΕΡΙΚΟΣ,ἐξωτερικός,,ἐξωτερικός,"external, belonging to the outside","external, belonging to the outside","external, belonging to the outside",,,,,,http://logeion.uchicago.edu/index.html#ἐξωτερικός
ΕΞΩΤΕΡΟΣ,ἐξώτερος,,ἐξώτερος,"outer, utter","outer, utter","outer, utter",,,,,,http://logeion.uchicago.edu/index.html#ἐξώτερος
ΕΞΩΤΕΡΩ,ἐξωτέρω,,ἐξωτέρω,more outside,more outside,more outside,,,,,,http://logeion.uchicago.edu/index.html#ἐξωτέρω
ΕΞΩΤΙΚΟΣ,ἐξωτικός,,ἐξωτικός,foreign,foreign,foreign,,,,,,http://logeion.uchicago.edu/index.html#ἐξωτικός
ΕΞΩΦΑΝΗΣ,ἐξωφανής,,ἐξωφανής,convex,convex,convex,,,,,,http://logeion.uchicago.edu/index.html#ἐξωφανής
ΕΞΩΦΟΡΟΣ,ἐξώφορος,,ἐξώφορος,"brought out, published","brought out, published","brought out, published",,,,,,http://logeion.uchicago.edu/index.html#ἐξώφορος
ΕΞΩΧΕΙΡΙΟΝ,ἐξωχείριον,,ἐξωχείριον,emancipare,emancipare,emancipare,,,,,,http://logeion.uchicago.edu/index.html#ἐξωχείριον
ΕΞΩΧΕΙΡΙΟΤΗΣ,ἐξωχειριότης,,ἐξωχειριότης,emancipatio,emancipatio,emancipatio,,,,,,http://logeion.uchicago.edu/index.html#ἐξωχειριότης
ΕΞΩΧΡΟΣ,ἔξωχρος,,ἔξωχρος,very pale,very pale,very pale,,,,,,http://logeion.uchicago.edu/index.html#ἔξωχρος
ΕΟΙΚΟΤΩΣ,ἐοικότως,Εοικοτως,ἐοικότως,"similarly, like, reasonably","similarly, like","similarly, like",,,,,Adverb,http://logeion.uchicago.edu/index.html#ἐοικότως
ΕΟΛΕΙ,ἐόλει,,ἐόλει,caused to waver,caused to waver,caused to waver,,,,,,http://logeion.uchicago.edu/index.html#ἐόλει
ΕΟΡ,ἔορ,,ἔορ,svasar-,svasar-,svasar-,,,,,,http://logeion.uchicago.edu/index.html#ἔορ
ΕΟΡΔΙΑ,Ἐορδία,,Ἐορδία,"Eordaea, Eordia","Eordaea, Eordia","Eordaea, Eordia",,,,,,http://logeion.uchicago.edu/index.html#Ἐορδία
ΕΟΡΔΟΙ,Ἐορδοί,,Ἐορδοί,Eordi,Eordi,Eordi,,,,,,http://logeion.uchicago.edu/index.html#Ἐορδοί
ΕΟΡΤΑ,ἑορτά,,ἑορτά,festival,festival,festival,,,,,,http://logeion.uchicago.edu/index.html#ἑορτά
ΕΟΡΤΑΖΩ,ἑορτάζω,,ἑορτάζω,to keep festival,to keep festival,to keep festival,,,,,,http://logeion.uchicago.edu/index.html#ἑορτάζω
ΕΟΡΤΑΙΟΣ,ἑορταῖος,,ἑορταῖος,festal,festal,festal,,,,,,http://logeion.uchicago.edu/index.html#ἑορταῖος
ΕΟΡΤΑΣΙΜΟΣ,ἑορτάσιμος,,ἑορτάσιμος,of or for a festival,of or for a festival,of or for a festival,,,,,,http://logeion.uchicago.edu/index.html#ἑορτάσιμος
ΕΟΡΤΑΣΙΟΣ,ἑορτάσιος,,ἑορτάσιος,sollemnis,sollemnis,sollemnis,,,,,,http://logeion.uchicago.edu/index.html#ἑορτάσιος
ΕΟΡΤΑΣΙΣ,ἑόρτασις,,ἑόρτασις,holiday-keeping,holiday-keeping,holiday-keeping,,,,,,http://logeion.uchicago.edu/index.html#ἑόρτασις
ΕΟΡΤΑΣΜΑ,ἑόρτασμα,,ἑόρτασμα,"festival, holiday","festival, holiday","festival, holiday",,,,,,http://logeion.uchicago.edu/index.html#ἑόρτασμα
ΕΟΡΤΑΣΤΗΣ,ἑορταστής,,ἑορταστής,reveller,reveller,reveller,,,,,,http://logeion.uchicago.edu/index.html#ἑορταστής
ΕΟΡΤΑΣΤΙΚΟΣ,ἑορταστικός,,ἑορταστικός,fit for a festival,fit for a festival,fit for a festival,,,,,,http://logeion.uchicago.edu/index.html#ἑορταστικός
ΕΟΡΤΗ,ἑορτή,Εορτη,ἑορτή –ῆς ἡ,festival,a feast,a feast,1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἑορτή
ΕΟΡΤΗΝ-ΠΟΙΩ,,,ἑορτὴν ποιῶ,to celebrate a festival,,,,1,,,,http://logeion.uchicago.edu/index.html#ἑορτὴν
ΕΟΡΤΙΚΟΣ,ἑορτικός,,ἑορτικός,presents given at festivals,presents given at festivals,presents given at festivals,,,,,,http://logeion.uchicago.edu/index.html#ἑορτικός
ΕΟΡΤΟΛΟΓΙΟΝ,ἑορτολόγιον,,ἑορτολόγιον,calendar of holidays,calendar of holidays,calendar of holidays,,,,,,http://logeion.uchicago.edu/index.html#ἑορτολόγιον
ΕΟΡΤΩΔΗΣ,ἑορτώδης,,ἑορτώδης,"festal, solemn","festal, solemn","festal, solemn",,,,,,http://logeion.uchicago.edu/index.html#ἑορτώδης
ΕΟΣ,ἑός,,ἑός ἑή ἑόν,"his, her, own","his, her own","his, her own",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἑός
ΕΠΑΒΕΛΤΕΡΟΩ,ἐπαβελτερόω,,ἐπαβελτερόω,make a yet greater ass of,make a yet greater ass of,make a yet greater ass of,,,,,,http://logeion.uchicago.edu/index.html#ἐπαβελτερόω
ΕΠΑΓΑΙΟΜΑΙ,ἐπαγαίομαι,,ἐπαγαίομαι,exult in,exult in,exult in,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγαίομαι
ΕΠΑΓΑΛΛΟΜΑΙ,ἐπαγάλλομαι,,ἐπαγάλλομαι,"to glory in, exult in","to glory in, exult in","to glory in, exult in",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγάλλομαι
ΕΠΑΓΑΝΑΚΤΕΩ,ἐπαγανακτέω,,ἐπαγανακτέω,to be indignant at,to be indignant at,to be indignant at,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγανακτέω
ΕΠΑΓΑΝΩΣΙΣ,ἐπαγάνωσις,,ἐπαγάνωσις,polishing,polishing,polishing,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγάνωσις
ΕΠΑΓΓΕΛΙΑ,ἐπαγγελία,,ἐπαγγελία,a public denunciation,a public denunciation,a public denunciation,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγγελία
ΕΠΑΓΓΕΛΛΩ,ἐπαγγέλλω,Επαγγελλω,ἐπαγγέλλω ἐπαγγελῶ ἐπήγγειλα ἐπήγγελκα ἐπήγγελμαι ἐπηγγέλθην,"tell, proclaim, command","to tell, proclaim, announce","to tell, proclaim, announce",,,,,Verb,http://logeion.uchicago.edu/index.html#ἐπαγγέλλω
ΕΠΑΓΓΕΛΜΑ,ἐπάγγελμα,,ἐπάγγελμα,"a promise, profession","a promise, profession","a promise, profession",,,,,,http://logeion.uchicago.edu/index.html#ἐπάγγελμα
ΕΠΑΓΓΕΛΤΗΡ,ἐπαγγελτήρ,,ἐπαγγελτήρ,envoy who announces a festival,envoy who announces a festival,envoy who announces a festival,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγγελτήρ
ΕΠΑΓΓΕΛΤΗΣ,ἐπαγγελτής,,ἐπαγγελτής,"promissor, sponsor","promissor, sponsor","promissor, sponsor",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγγελτής
ΕΠΑΓΓΕΛΤΙΚΟΣ,ἐπαγγελτικός,,ἐπαγγελτικός,given to promising,given to promising,given to promising,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγγελτικός
ΕΠΑΓΓΕΛΤΟΣ,ἐπάγγελτος,,ἐπάγγελτος,voluntary,voluntary,voluntary,,,,,,http://logeion.uchicago.edu/index.html#ἐπάγγελτος
ΕΠΑΓΕΙΡΩ,ἐπαγείρω,,ἐπαγείρω,"to gather together, collect","to gather together, collect","to gather together, collect",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγείρω
ΕΠΑΓΕΡΣΙΣ,ἐπάγερσις,,ἐπάγερσις,a mustering,a mustering,a mustering,,,,,,http://logeion.uchicago.edu/index.html#ἐπάγερσις
ΕΠΑΓΙΝΕΩ,ἐπαγινέω,,ἐπαγινέω,to bring to,to bring to,to bring to,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγινέω
ΕΠΑΓΚΑΛΙΖΟΜΑΙ,ἐπαγκαλίζομαι,,ἐπαγκαλίζομαι,embrace,embrace,embrace,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκαλίζομαι
ΕΠΑΓΚΥΛΕΩ,ἐπαγκυλέω,,ἐπαγκυλέω,furnish with a thong,furnish with a thong,furnish with a thong,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκυλέω
ΕΠΑΓΚΥΛΙΖΟΜΑΙ,ἐπαγκυλίζομαι,,ἐπαγκυλίζομαι,to be fitted with an,to be fitted with an,to be fitted with an,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκυλίζομαι
ΕΠΑΓΚΥΛΩΤΟΣ,ἐπαγκυλωτός,,ἐπαγκυλωτός,fitted with a thong,fitted with a thong,fitted with a thong,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκυλωτός
ΕΠΑΓΚΩΝΙΔΙΟΝ,ἐπαγκωνίδιον,,ἐπαγκωνίδιον,cushion,cushion,cushion,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκωνίδιον
ΕΠΑΓΚΩΝΙΣΜΟΣ,ἐπαγκωνισμός,,ἐπαγκωνισμός,dance,dance,dance,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγκωνισμός
ΕΠΑΓΛΑΙΖΟΜΑΙ,ἐπαγλαίζομαι,,ἐπαγλαίζομαι,glory in,glory in,glory in,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγλαίζομαι
ΕΠΑΓΛΑΙΖΩ,ἐπαγλαίζω,,ἐπαγλαίζω,to honour still more,to honour still more,to honour still more,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγλαίζω
ΕΠΑΓΛΑΙΖΩ/2,ἐπαγλαΐζω,,ἐπαγλαΐζω,"honour, grace","honour, grace","honour, grace",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγλαΐζω
ΕΠΑΓΝΥΜΙ,ἐπάγνυμι,,ἐπάγνυμι,to break,to break,to break,,,,,,http://logeion.uchicago.edu/index.html#ἐπάγνυμι
ΕΠΑΓΟΡΑΖΩ,ἐπαγοράζω,,ἐπαγοράζω,purchase a title to the next vacancy,purchase a title to the next vacancy,purchase a title to the next vacancy,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγοράζω
ΕΠΑΓΟΡΕΥΣΙΣ,ἐπαγόρευσις,,ἐπαγόρευσις,funeral oration,funeral oration,funeral oration,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγόρευσις
ΕΠΑΓΟΡΕΥΩ,ἐπαγορεύω,,ἐπαγορεύω,proclaim,proclaim,proclaim,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγορεύω
ΕΠΑΓΡΟΣ,ἔπαγρος,,ἔπαγρος,in quest of prey,in quest of prey,in quest of prey,,,,,,http://logeion.uchicago.edu/index.html#ἔπαγρος
ΕΠΑΓΡΟΣΥΝΗ,ἐπαγροσύνη,,ἐπαγροσύνη,"good luck in hunting, fishing","good luck in hunting, fishing","good luck in hunting, fishing",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγροσύνη
ΕΠΑΓΡΥΠΝΕΩ,ἐπαγρυπνέω,,ἐπαγρυπνέω,to keep awake and brood over,to keep awake and brood over,to keep awake and brood over,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγρυπνέω
ΕΠΑΓΡΥΠΝΗΣΙΣ,ἐπαγρύπνησις,,ἐπαγρύπνησις,watching for,watching for,watching for,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγρύπνησις
ΕΠΑΓΡΥΠΝΟΣ,ἐπάγρυπνος,,ἐπάγρυπνος,"wakeful, sleepless","wakeful, sleepless","wakeful, sleepless",,,,,,http://logeion.uchicago.edu/index.html#ἐπάγρυπνος
ΕΠΑΓΧΙΣΤΟΣ,ἐπάγχιστος,,ἐπάγχιστος,next of kin,next of kin,next of kin,,,,,,http://logeion.uchicago.edu/index.html#ἐπάγχιστος
ΕΠΑΓΩ,ἐπάγω,Επαγω,ἐπάγω ἐπάξω ἐπήγαγον ἐπῆχα ἐπῆγμαι ἐπήχθην,"bring on, set on, influence",to bring on,to bring on,,,,,Verb,http://logeion.uchicago.edu/index.html#ἐπάγω
ΕΠΑΓΩΓΕΥΣ,ἐπαγωγεύς,,ἐπαγωγεύς,coat of clay,coat of clay,coat of clay,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωγεύς
ΕΠΑΓΩΓΗ,ἐπαγωγή,,ἐπαγωγή,"a bringing in, supplying; (logical) induction","a bringing in, supplying; (logical) induction","a bringing in, supplying; (logical) induction",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωγή
ΕΠΑΓΩΓΙΚΟΣ,ἐπαγωγικός,,ἐπαγωγικός,inductive,inductive,inductive,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωγικός
ΕΠΑΓΩΓΙΜΟΣ,ἐπαγώγιμος,,ἐπαγώγιμος,imported,imported,imported,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγώγιμος
ΕΠΑΓΩΓΙΟΝ,ἐπαγώγιον,,ἐπαγώγιον,"foreskin, prepuce","foreskin, prepuce","foreskin, prepuce",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγώγιον
ΕΠΑΓΩΓΙΣ,ἐπαγωγίς,,ἐπαγωγίς,femella,femella,femella,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωγίς
ΕΠΑΓΩΓΟΣ,ἐπαγωγός,,ἐπαγωγός,"attractive, tempting, alluring, seductive","attractive, tempting, alluring, seductive","attractive, tempting, alluring, seductive",,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωγός
ΕΠΑΓΩΝΙΖΟΜΑΙ,ἐπαγωνίζομαι,,ἐπαγωνίζομαι,to contend with,to contend with,to contend with,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγωνίζομαι
ΕΠΑΓΩΝΙΟΣ,ἐπαγώνιος,,ἐπαγώνιος,helping in the contest,helping in the contest,helping in the contest,,,,,,http://logeion.uchicago.edu/index.html#ἐπαγώνιος
