TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΚΤΗΤΩΡ,κτήτωρ,,κτήτωρ,"a possessor, owner","a possessor, owner","a possessor, owner",,,,,,http://logeion.uchicago.edu/index.html#κτήτωρ
ΚΤΙΔΕΟΣ,κτίδεος,,κτίδεος,of a marten-cat,of a marten-cat,of a marten-cat,,,,,,http://logeion.uchicago.edu/index.html#κτίδεος
ΚΤΙΛΕΥΩ,κτιλεύω,,κτιλεύω,"make tame, tame","make tame, tame","make tame, tame",,,,,,http://logeion.uchicago.edu/index.html#κτιλεύω
ΚΤΙΛΟΣ,κτίλος,,κτίλος,"tame, docile, gentle","tame, docile, gentle","tame, docile, gentle",,,,,,http://logeion.uchicago.edu/index.html#κτίλος
ΚΤΙΛΟΩ,κτιλόω,,κτιλόω,to tame,to tame,to tame,,,,,,http://logeion.uchicago.edu/index.html#κτιλόω
ΚΤΙΜΕΝΗ,Κτιμένη,,Κτιμένη,Ctimene,Ctimene,Ctimene,,,,,,http://logeion.uchicago.edu/index.html#Κτιμένη
ΚΤΙΜΕΝΟΣ,κτίμενος,,κτίμενος,built (καλῶς κ. for Homeric ἐϋκτίμενος well-built),built (καλῶς κ. for Homeric ἐϋκτίμενος well-built),built (καλῶς κ. for Homeric ἐϋκτίμενος well-built),,,,,,http://logeion.uchicago.edu/index.html#κτίμενος
ΚΤΙΣΙΣ,κτίσις,,κτίσις,"a founding, foundation","a founding, foundation","a founding, foundation",,,,,,http://logeion.uchicago.edu/index.html#κτίσις
ΚΤΙΣΜΑ,κτίσμα,,κτίσμα,"anything created, a creature","anything created, a creature","anything created, a creature",,,,,,http://logeion.uchicago.edu/index.html#κτίσμα
ΚΤΙΣΜΟΣ,κτισμός,,κτισμός,foundation,foundation,foundation,,,,,,http://logeion.uchicago.edu/index.html#κτισμός
ΚΤΙΣΤΕΙΟΝ,κτιστεῖον,,κτιστεῖον,sanctuary of a founder,sanctuary of a founder,sanctuary of a founder,,,,,,http://logeion.uchicago.edu/index.html#κτιστεῖον
ΚΤΙΣΤΗΣ,κτίστης,,κτίστης,a founder,a founder,a founder,,,,,,http://logeion.uchicago.edu/index.html#κτίστης
ΚΤΙΣΤΟΣ,κτιστός,,κτιστός,wrought,wrought,wrought,,,,,,http://logeion.uchicago.edu/index.html#κτιστός
ΚΤΙΣΤΥΣ,κτιστύς,,κτιστύς,founding,founding,founding,,,,,,http://logeion.uchicago.edu/index.html#κτιστύς
ΚΤΙΤΗΣ,κτίτης,,κτίτης,an inhabitant,an inhabitant,an inhabitant,,,,,,http://logeion.uchicago.edu/index.html#κτίτης
ΚΤΟΙΝΑ,κτοίνα,,κτοίνα,a local division,a local division,a local division,,,,,,http://logeion.uchicago.edu/index.html#κτοίνα
ΚΤΟΙΝΑΤΗΣ,κτοινάτης,,κτοινάτης,member of a κτοίνα,member of a κτοίνα,member of a κτοίνα,,,,,,http://logeion.uchicago.edu/index.html#κτοινάτης
ΚΤΟΝΟΣ,κτόνος,,κτόνος,murder,murder,murder,,,,,,http://logeion.uchicago.edu/index.html#κτόνος
ΚΤΥΠΕΩ,κτυπέω,,κτυπέω,to crash,to crash,to crash,,,,,,http://logeion.uchicago.edu/index.html#κτυπέω
ΚΤΥΠΗΤΗΣ,κτυπητής,,κτυπητής,one who makes a noise,one who makes a noise,one who makes a noise,,,,,,http://logeion.uchicago.edu/index.html#κτυπητής
ΚΥΑΘΙΑΙΟΣ,κυαθιαῖος,,κυαθιαῖος,contained in a κύαθος,contained in a κύαθος,contained in a κύαθος,,,,,,http://logeion.uchicago.edu/index.html#κυαθιαῖος
ΚΥΑΘΙΖΩ,κυαθίζω,,κυαθίζω,ladle out,ladle out,ladle out,,,,,,http://logeion.uchicago.edu/index.html#κυαθίζω
