word_id,TITLE,By Roman Hands: Inscriptions & Graffiti for Students of Latin (Hartnett)
10743,MONS,139
10754,MONVMENTVM,"54, 121, 141"
285,MORA,73
10761,MORBVS,37
286,MORIOR,"78, 93"
288,MORS,"13, 94, 94, 97, 101, 124, 132, 134"
10772,MORTALIS/2,"36, 44, 54, 92"
289,MORTVVS/2,"6, 141"
290,MOS,"36, 123"
10782,MOTVS,137
10807,MVLIO,140
10830,MVLTVM/2,81
291,MVLTVS,"4, 54, 60, 118"
10836,MVMMIVS/N,82
294,NAM,"36, 44"
10962,NASCOR,"24, 39, 136"
10973,NATALIS/2,"45, 125"
10977,NATIO/1,"32, 33"
296,NAVIS,83
298,NE/4,"103, 106, 107, 119, 127"
11042,NECO,13
11057,NEGO,"65, 78"
11060,NEGOTIOR,96
11070,NEMO,"69, 96"
11082,NEPOS/N,96
11083,NEPOS/1,136
301,NEQVE,"87, 97, 118"
11101,NERO/N,81
11111,NESCIO,104
11121,NEXVS,76
11132,NIGER/N,53
11139,NIHIL,"28, 28, 97"
11148,NIMIVM/2,118
11182,NOBILITO,123
11201,NOLO,"78, 91"
11203,NOMEN,"11, 39, 57, 64, 76, 98"
11210,NOMINO,39
307,NON,"6, 10, 20, 33, 67, 95, 107, 118, 122"
11217,NONAE,58
309,NOS,"14, 27, 27, 115, 125"
11235,NOSCO,117
310,NOSTER,"12, 54"
11256,NOVEM,"60, 86, 129"
11283,NVCERINVS/A,29
315,NVDVS,57
316,NVLLVS,"49, 54, 85, 142"
11296,NVMEN,75
319,NVMQVAM,27
320,NVNC,"37, 56, 141"
321,O,"14, 114"
11351,OB,"82, 137"
11361,OBEO/1,54
11372,OBITVS,116
11375,OBIVRGO,138
11394,OBLIVISCOR,27
11419,OBSEQVENS,48
11427,OBSERVO,48
11468,OBTINEO,123
11496,OCCIDO/1,74
11497,OCCIDO/2,83
11534,OCTINGENTI,"83, 83"
11535,OCTO,"13, 53, 83, 100"
11538,OCTOGINTA,83
331,OMNIS,"21, 44, 86, 129, 134, 141"
11703,OPPIDVM,"83, 129"
332,OPTO,130
333,OPVS/1,5
11736,ORATOR,7
11759,ORDO,137
11781,ORIOR,74
11789,ORO,"73, 128"
11805,OS/2,"99, 110, 121"
11856,OTIOSVS,20
12001,PANIS,128
337,PAR/2,124
12048,PARENS/1,"39, 48, 100, 124"
12053,PARIES,95
12103,PARVVS/2,"35, 36, 43, 60, 73, 108"
12134,PATER,"102, 123"
12136,PATERNVS,99
341,PATIOR,54
12171,PAVLO,117
12174,PAVLVM/2,39
342,PAVPER,"54, 93"
12183,PAVSA,17
12197,PAX,37
12203,PECCO,49
12211,PECVNIA,137
344,PER,"35, 56, 75, 117"
12361,PERCIPIO,132
345,PEREO/1,"29, 104, 104"
12424,PERFVNGOR,36
12465,PERLEGO/2,"39, 112"
12591,PERVSINVS/A,67
12629,PETO,"73, 123"
12790,PIGNVS,54
12794,PILA/3,81
12877,PIVS,"35, 117"
12886,PLACEO,94
12889,PLACIDVS,37
353,PLANGO,70
12945,PLORO,70
12982,POENA,37
13004,POLLEX,22
24290,POLLIVS/N,96
13017,POLYBIVS/N,128
13045,POMPEII/N,18
13049,POMPEIVS/N,"58, 83"
355,PONO,"59, 64, 66, 101"
13095,POPVLVS/1,"1, 15, 30, 55, 80, 81"
13117,PORTICVS,89
13132,POSSVM/1,"69, 90, 96, 116"
356,POST/2,116
13171,POTIS,130
13200,PRAECEPTVM,48
13245,PRAEFICIO,64
13357,PRAETEREO/1,"73, 110, 135"
13391,PRANDIVM,9
13407,PRESBYTER,76
364,PRETIOSVS,67
13421,PRIDIE,"18, 58"
13429,PRIMIGENIVS/N,68
13440,PRIMVS,81
13442,PRINCEPS/1,"21, 136"
368,PRO/1,"71, 141"
13486,PROBO,35
13572,PROGENIES,123
13605,PROMITTO,9
373,PROPERO,"73, 140"
13649,PROPITIVS,113
13693,PROSVM/1,26
13773,PVBLIVS/N,100
13781,PVDOR,69
379,PVELLA,"4, 19, 31, 34, 139, 142"
381,PVER,86
13801,PVGNO,"18, 33, 53"
383,PVLCHER,"35, 39, 39, 54"
13816,PVLSO,22
13901,QVA/1,67
13907,QVADRAGINTA,83
388,QVAERO,131
13936,QVAESO,"73, 117"
13938,QVAESTOR,89
389,QVAM/1,"35, 130"
13968,QVARE/1,49
13982,QVATTVORDECIM,136
13992,QVERELA,130
394,QVEROR,"96, 134"
395,QVI/1,"14, 35, 39, 46, 51, 53, 60, 61, 62, 63, 64, 65, 66, 66, 68, 69, 69, 69, 73, 73, 76, 81, 82, 86, 92, 95, 96, 96, 99, 101, 101, 104, 106, 112, 120, 121, 122, 124, 130, 131, 132, 132, 133, 133, 135, 142"
13998,QVIA,86
14009,QVIESCO,"46, 110"
14014,QVINCTIVS/N,129
14028,QVINQVE,"13, 80, 130"
14037,QVINTILIS/N,58
398,QVIS/1,"23, 72, 90, 134"
399,QVIS/2,"103, 138, 139"
400,QVISQVIS/2,"104, 104, 105"
14075,QVOMODO/1,26
14079,QVONIAM,141
401,QVOQVE,"25, 98"
14136,RAPIO,"42, 51, 52"
14202,RECIPIO,83
14231,RECTOR,21
14235,RECVBO,102
14249,REDDO,75
405,REDEO/1,82
14310,REGIO,75
14330,RELEGO/2,133
14336,RELIGIOSVS,75
14339,RELINQVO,"57, 70, 130"
14403,REPENTE,51
27039,REPVRGO,75
14433,REQVIESCO,"65, 121"
14441,RESPVBLICA,"24, 80"
410,RES,"21, 82"
14453,RESIDO,118
14458,RESISTO,126
14467,RESPICIO,72
14478,RESTITVO,"30, 137"
14479,RESTITVTVS/N,"4, 47"
14532,REVOCO,"50, 119"
14605,ROGO,"110, 125, 126, 127"
14606,ROMA/N,82
14610,ROMANVS/A,"1, 15, 30, 55, 80"
420,ROTA,5
14635,RVBER,83
14670,RVMPO,76
14720,SABIS/N,34
14728,SACER,122
14745,SACRO,54
14753,SAEPE,4
428,SALVS,"9, 125"
14848,SANCIO,130
14853,SANCTVS,116
14874,SAPIO,141
14911,SATIS/2,141
14917,SATOR,5
15009,SCIO,"54, 93, 133"
15048,SCRIPTOR,95
15106,SECTOR/1,33
15119,SECVRVS,98
434,SED,"12, 94"
437,SEMEL,83
438,SEMPER,"35, 54, 69, 111"
15212,SENATVS,"1, 15, 30, 80, 136"
15237,SENTIO,140
15252,SEPTEM,80
15253,SEPTEMBER/A,125
15258,SEPTENVS,45
15269,SEPVLCRVM,"39, 127, 133"
15293,SERIOLA,43
15297,SERMO,39
15324,SERVO,"8, 39, 85"
15344,SEVERA/N,125
15347,SEVERVS,75
15352,SEX,"13, 80, 83, 137"
15362,SEXTVS/N,"58, 58"
447,SI/2,"49, 81, 99, 109, 131, 138, 139, 140, 141, 142"
448,SIC,"44, 117"
15416,SIGNVM,82
15462,SIMVL/1,68
454,SINE,"36, 85, 130"
15489,SINO,"67, 76"
15508,SISTO,"73, 117"
457,SOL,74
15544,SOLACIVM,25
460,SOLLEMNIS,125
15573,SOLVS,"47, 94"
15577,SOLVO,57
461,SOROR,"99, 125"
462,SORS,44
15639,SPATIVM,36
463,SPECIES,31
15663,SPERO,96
15664,SPES,"85, 96"
15758,STATVO,55
15770,STERCVS,106
15808,STIRPS,123
15861,STVDIOSVS,54
15862,STVDIVM,"48, 69"
474,SVB,39
15913,SVBIGO,83
15916,SVBITO,23
16049,SVI/1,"93, 96, 123, 130, 130, 130"
480,SVM/1,"6, 6, 6, 6, 17, 18, 20, 22, 25, 28, 28, 35, 38, 39, 39, 48, 49, 50, 55, 56, 57, 58, 59, 62, 63, 67, 69, 69, 73, 73, 76, 79, 81, 82, 86, 91, 92, 93, 96, 96, 97, 98, 102, 102, 107, 107, 108, 109, 109, 110, 123, 124, 130, 131, 132, 134, 135, 136, 137, 141, 142"
481,SVMMVS,69
16121,SVPERSTES,130
