TITLE,LOGEION LEMMA,SEARCH LEMMA,DISPLAY LEMMA,SHORTDEF,LONGDEF,LOGEIONDEF,DECL,IDIOM,REG ADJ/ADV,PROPER,PART-OF-SPEECH,LOGEION LINK
ΑΜΕΙΒΩ,ἀμείβω,Αμειβω,ἀμείβω ἀμείψω ἤμειψα ἤμειφα ἤμειμμαι ἠμείφθην,"change, respond","change, alternate, respond","change, alternate, respond",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀμείβω
ΑΜΕΙΝΩΝ,ἀμείνων,Αμεινων,ἀμείνων –ον,"better, abler, braver","better, abler, stronger, braver","better, abler, stronger, braver",3,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀμείνων
ΑΜΗΧΑΝΟΣ,ἀμήχανος,,ἀμήχανος –ον,without means,without means,without means,1,,,,Adjective,http://logeion.uchicago.edu/index.html#ἀμήχανος
ΑΜΦΗΚΗΣ,ἀμφήκης,,ἀμφήκης –ές,two-edged,two-edged,two-edged,3,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀμφήκης
ΑΜΦΙ,ἀμφί,Αμφι,ἀμφί,on both sides,on both sides,on both sides,0,,,0,Adverb,http://logeion.uchicago.edu/index.html#ἀμφί
ΑΝ,ἄν,αν,ἄν,conditional particle,modal particle,modal particle,0,,,0,Particle,http://logeion.uchicago.edu/index.html#ἄν
ΑΝΑ,ἀνά,Ανα,ἀνά,"up, upon","up, upon","up, upon",0,,,0,Preposition,http://logeion.uchicago.edu/index.html#ἀνά
ΑΝΑΓΕΛΑΩ,ἀναγελάω,,ἀναγελάω ἀναγελάσομαι ἀνεγέλασα ––– ––– –––,to laugh loud,to laugh loud,to laugh loud,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀναγελάω
ΑΝΑΓΚΗ,ἀνάγκη,Αναγκη,ἀνάγκη –ης ἡ,necessity,"force, constraint, necessity","force, constraint, necessity",1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀνάγκη
ΑΝΑΞ,ἄναξ,αναξ,ἄναξ –ακτος ὁ,"ruler, lord","a lord, master","a lord, master",3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄναξ
ΑΝΑΡΙΘΜΟΣ,ἀνάριθμος,,ἀνάριθμος –ον,"without number, countless, numberless","without number, countless, numberless","without number, countless, numberless",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἀνάριθμος
ΑΝΑΣΣΩ,ἀνάσσω,,ἀνάσσω,"be king, lord, or master of, rule over, reign","to be lord, master, owner, to rule, in","to be lord, master, owner, to rule, in",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀνάσσω
ΑΝΕΜΟΣ,ἄνεμος,ανεμος,ἄνεμος –ου ὁ,"wind, spirit",wind,wind,2,,,,Noun,http://logeion.uchicago.edu/index.html#ἄνεμος
ΑΝΗΡ,ἀνήρ,Ανηρ,ἀνήρ ἀνδρός ὁ,man,a man,a man,3,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀνήρ
ΑΝΘΙΣΤΗΜΙ,ἀνθίστημι,,ἀνθίστημι ἀντιστήσω ἀντέστησα ἀντέστηκα ἀντέσταμαι ἀντεστάθην,to set against,to set against,to set against,,,,,Verb,http://logeion.uchicago.edu/index.html#ἀνθίστημι
ΑΝΘΟΣ,ἄνθος,ανθος,ἄνθος –ους τό,flower,"a blossom, flower","a blossom, flower",3,,,,Noun,http://logeion.uchicago.edu/index.html#ἄνθος
ΑΝΘΡΩΠΟΣ,ἄνθρωπος,ανθρωπος,ἄνθρωπος –ου ὁ/ἡ,human being,"man, person, human","man, person, human",2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄνθρωπος
ΑΝΙΣΤΟΡΕΩ,ἀνιστορέω,,ἀνιστορέω ἀνιστορήσω ἀνιστόρησα ἀνιστόρηκα ––– –––,"to make inquiry into, ask about","to make inquiry into, ask about","to make inquiry into, ask about",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀνιστορέω
ΑΝΟΟΣ,ἄνοος,ανοος,ἄνοος –ον,"silly, without understanding","without understanding, foolish, silly","without understanding, foolish, silly",1,,,,Adjective,http://logeion.uchicago.edu/index.html#ἄνοος
ΑΝΤΕΙΠΟΝ,ἀντεῖπον,,ἀντιλέγω  ἀντερῶ/ἀντιλέξω ἀντεῖπον ἀντείρηκα ἀντείρημαι/ἀντιλέλεγμαι ἀντελέχθην/ἀντερρήθην,to speak against,to speak against,to speak against,,,,,Verb,http://logeion.uchicago.edu/index.html#ἀντιλέγω
ΑΝΤΙ,ἀντί,Αντι,ἀντί,"opposite, over against","over against, opposite.  c. gen.","over against, opposite.  c. gen.",0,,,0,Preposition,http://logeion.uchicago.edu/index.html#ἀντί
ΑΝΤΙΠΑΛΟΣ,ἀντίπαλος,,ἀντίπαλος –ον,wrestling against,wrestling against,wrestling against,1,,,,Adjective,http://logeion.uchicago.edu/index.html#ἀντίπαλος
ΑΝΤΡΟΝ,ἄντρον,,ἄντρον –ου τό,"a cave, grot, cavern","a cave, grot, cavern","a cave, grot, cavern",2,,,0,Noun,http://logeion.uchicago.edu/index.html#ἄντρον
ΑΝΥΩ,ἀνύω,,ἀνύω or ἄνω ἀνύσω ἤνυσα ἤνυκα ἤνυσμαι ἠνύσθην,"to effect, achieve, accomplish, complete","to effect, achieve, accomplish, complete","to effect, achieve, accomplish, complete",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀνύω
ΑΝΩ/2,ἄνω,ανω/2,ἀνύω or ἄνω ἀνύσω ἤνυσα ἤνυκα ἤνυσμαι ἠνύσθην,"accomplish, finish","to accomplish, achieve, finish","to accomplish, achieve, finish",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀνύω
ΑΝΩΓΩ,ἄνωγα,Ανωγω,ἀνώγω,"bid, command","to command, order","to command, order",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀνώγω
ΑΞΙΟΣ,ἄξιος,αξιος,ἄξιος –α –ον,worthy,worthy,worthy,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄξιος
ΑΞΙΟΩ,ἀξιόω,Αξιοω,ἀξιόω ἀξιώσω ἀξίωσα ἠξίωκα ἠξίωμαι ἠξιώθην,"deem worthy, consent, claim",to think worthy of; to expect,to think worthy of; to expect,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀξιόω
ΑΠΑΛΛΑΣΣΩ,ἀπαλλάσσω,Απαλλασσω,ἀπαλλάσσω ἀπαλλάξω ἀπήλλαξα ἀπήλλαχα ἀπήλλαγμαι ἀπηλλάχθην,"set free, deliver","to set free, release, deliver","to set free, release, deliver",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀπαλλάσσω
ΑΠΑΞ,ἅπαξ,Απαξ,ἅπαξ,"once, once only",once,once,0,,,0,Adverb,http://logeion.uchicago.edu/index.html#ἅπαξ
ΑΠΑΣ,ἅπας,Απας,ἅπας –ασα –αν,each and every,"quite all, the whole","quite all, the whole",2,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἅπας
ΑΠΕΙΛΗ,ἀπειλή,,ἀπειλή –ῆς ἡ,"boasts, threats","boasts, threats","boasts, threats",1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀπειλή
ΑΠΕΙΡΟΣ,ἄπειρος,απειρος,ἄπειρος –α –ον,"inexperienced of, ignorant; boundless","without trial, inexperienced","without trial, inexperienced",1,,,,Adjective,http://logeion.uchicago.edu/index.html#ἄπειρος
ΑΠΕΧΩ,ἀπέχω,Απεχω,ἀπέχω ἀφέξω (or ἀποσχήσω) ἀπέσχον ἀπέσχηκα ––– –––,"keep off, away from",to keep off,to keep off,,,,,Verb,http://logeion.uchicago.edu/index.html#ἀπέχω
ΑΠΙΣΤΕΩ,ἀπιστέω,,ἀπιστέω ἀπιστήσω ––– ἠπίστηκα ἀπιστηθήσομαι –––,"to disbelieve, distrust; to disobey","to disbelieve, distrust; to disobey","to disbelieve, distrust; to disobey",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀπιστέω
ΑΠΙΣΤΟΣ,ἄπιστος,,ἄπιστος –ον,not to be trusted,not to be trusted,not to be trusted,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄπιστος –ον
ΑΠΛΑΤΟΣ,ἄπλατος,,ἄπλατος –ον,"unapproachable, terrible","unapproachable, terrible","unapproachable, terrible",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄπλατος
ΑΠΛΟΟΣ/2,ἁπλόος,,ἁπλόος –η –ον,"single, simple","single, simple","single, simple",1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἁπλόος
ΑΠΟ,ἀπό,Απο,ἀπό,away from,"from, away from. c. gen.","from, away from. c. gen.",0,,,0,Preposition,http://logeion.uchicago.edu/index.html#ἀπό
ΑΠΟΔΕΙΚΝΥΜΙ,ἀποδείκνυμι,Αποδεικνυμι,ἀποδείκνυμι ἀποδείξω ἀπέδειξα ἀποδέδειχα ἀποδέδειγμαι ἀπεδείχθην,"point out, prove",to point away from,to point away from,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀποδείκνυμι
ΑΠΟΚΛΑΩ,ἀποκλάω,,ἀποκλαίω/ἀποκλάω ἀποκλαιήσω/ἀποκλαήσω/ἀποκλαύσομαι ἀπέκλαυσα ––– ἀποκέκλαυμαι/ἀποκέκλαυσμαι ἀπεκλαύσθην,to break off,to break off,to break off,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀποκλαίω/ἀποκλάω
ΑΠΟΡΟΣ,ἄπορος,,ἄπορος –ον,without passage,without passage,without passage,1,,,0,Adjective,http://logeion.uchicago.edu/index.html#ἄπορος
ΑΠΟΣΤΕΡΕΩ,ἀποστερέω,Αποστερεω,ἀποστερέω ἀποστερήσω ἀποστέρησα ἀποστέρηκα ἀποστέρημαι ἀποστερήθην,deprive,"to rob, despoil, bereave","to rob, despoil, bereave",0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀποστερέω
ΑΡΑ,ἀρά,,ἀρά –ᾶς ἡ,"a prayer, imprecation, curse","a prayer, imprecation, curse","a prayer, imprecation, curse",1,,,0,Noun,http://logeion.uchicago.edu/index.html#ἀρά
ΑΡΑ/2,ἆρα,αρα/2,ἆρα,[introduces a question],particle introducing a question,particle introducing a question,0,,,0,Particle,http://logeion.uchicago.edu/index.html#ἆρα
ΑΡΑ/3,ἄρα,αρα,ἄρα,"well then, really",particle: 'so',particle: 'so',0,,,0,Particle,http://logeion.uchicago.edu/index.html#ἄρα
ΑΡΑΟΜΑΙ,ἀράομαι,,ἀράομαι ἀράσομαι (Ion. ἀρήσομαι) ἠρησάμην ἤρᾱμαι,to pray to,to pray to,to pray to,0,,,0,Verb,http://logeion.uchicago.edu/index.html#ἀράομαι
ΑΡΑΡΙΣΚΩ,ἀραρίσκω,,ἀραρίσκω,"fit on or together, join, fit with","to join, join together, fasten","to join, join together, fasten",,,,,Verb,http://logeion.uchicago.edu/index.html#ἀραρίσκω
